run_id,episode_id,step_id,config_seq,t_observation,t_decision,t_request,t_ack,t_active,t_window_end,planner_cycle_count,valid_feedback_duration,state_valid,invalid_reason,goal_distance_start,goal_distance_end,path_error_mean,path_heading_error_mean,d_obs_min,obstacle_density_mean,ttc_min,linear_velocity_mean,angular_velocity_mean,eta_before_json,action_raw_json,eta_after_json,theta_previous_json,theta_candidate_json,theta_projected_json,theta_safe_json,theta_applied_json,projection_modified,projection_reason,safety_modified,safety_mode,safety_reason,fallback_active,fallback_reason,reward_total,reward_progress,reward_time,reward_near_obstacle,reward_path_error,reward_smoothness,reward_planner_failure,reward_parameter_adjustment,reward_terminal,cost_collision,cost_near_collision,cost_parameter_violation,cost_planner_failure,cost_emergency_or_fallback,inference_latency,parameter_write_latency,parameter_activation_latency,transition_stored,transition_drop_reason
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000001,0,1,3.16,2.558,2.56,2.6,2.61,3.11,0,0.5,true,,2.473952044606549,1.9815139137976012,0.007131248944502506,0.024591811187063665,30.0,0.0,25.7527150412307,1.1649257156757762,0.010339495180510737,"[0.0,0.0,0.0,0.0,0.0]","[0.8870649337768555,-0.2811579704284668,0.5696108341217041,0.1825563907623291,-0.4113428592681885]","[0.8870649337768555,-0.2811579704284668,0.5696108341217041,0.1825563907623291,-0.4113428592681885]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7823385964943311,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2588319807840119,""weight_obstacle"":52.22111688979895,""weight_optimaltime"":0.9718842029571533,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7823385964943311,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2588319807840119,""weight_obstacle"":52.22111688979895,""weight_optimaltime"":0.9718842029571533,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7823385964943311,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2588319807840119,""weight_obstacle"":52.22111688979895,""weight_optimaltime"":0.9718842029571533,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7823385964943311,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2588319807840119,""weight_obstacle"":52.22111688979895,""weight_optimaltime"":0.9718842029571533,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,2.2241469280493606,2.462190654044738,-0.05,-0.0,-2.6634145170038625e-05,-0.17000355547201798,-0.0,-0.018013536378189223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.000000000000036,49.99999999999982,true,
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000001,1,2,3.758,3.158,3.16,3.2,3.208,3.708,0,0.5,true,,1.8650214609452853,1.2821733117210155,0.02376914420566793,0.022873592515409234,30.0,0.0,25.734068517035546,1.1657698035637263,0.015515382158648387,"[0.8870649337768555,-0.2811579704284668,0.5696108341217041,0.1825563907623291,-0.4113428592681885]","[0.8454513549804688,0.7386630773544312,-0.2717231512069702,0.9463536739349365,-0.550951361656189]","[1.0,0.45750510692596436,0.2978876829147339,1.0,-0.9622942209243774]","{""acc_lim_theta"":0.7823385964943311,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2588319807840119,""weight_obstacle"":52.22111688979895,""weight_optimaltime"":0.9718842029571533,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7907053199379541,""acc_lim_x"":0.798660998648415,""inflation_dist"":0.5525156815439699,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2685807589436083,""weight_obstacle"":55.19607402655197,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7907053199379541,""acc_lim_x"":0.798660998648415,""inflation_dist"":0.5525156815439699,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2685807589436083,""weight_obstacle"":55.19607402655197,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7907053199379541,""acc_lim_x"":0.798660998648415,""inflation_dist"":0.5525156815439699,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2685807589436083,""weight_obstacle"":55.19607402655197,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7907053199379541,""acc_lim_x"":0.798660998648415,""inflation_dist"":0.5525156815439699,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2685807589436083,""weight_obstacle"":55.19607402655197,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,2.845467590757472,2.914240746121349,-0.05,-0.0,-0.00015378675569248097,-1.5863080484787002e-06,-0.0,-0.018617782300135916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.000000000000036,48.00000000000004,true,
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000001,2,3,4.358,3.758,3.76,3.79,3.808,4.308,0,0.5,true,,1.165596344900953,0.6217115872058231,0.039297311853362556,0.021532939249995425,30.0,0.0,33.387571296510274,0.8985379539462235,-0.03312811592663238,"[1.0,0.45750510692596436,0.2978876829147339,1.0,-0.9622942209243774]","[0.6109917163848877,0.3617924451828003,-0.057878971099853516,-0.9383890628814697,0.7895963191986084]","[1.0,0.8192975521087646,0.24000871181488037,0.06161093711853027,-0.17269790172576904]","{""acc_lim_theta"":0.7907053199379541,""acc_lim_x"":0.798660998648415,""inflation_dist"":0.5525156815439699,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2685807589436083,""weight_obstacle"":55.19607402655197,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7151952057426352,""acc_lim_x"":0.8,""inflation_dist"":0.5530515396728526,""max_vel_theta"":1.0,""max_vel_x"":1.1873039365727842,""min_obstacle_dist"":0.2753791490662689,""weight_obstacle"":50.93251217983549,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7151952057426352,""acc_lim_x"":0.8,""inflation_dist"":0.5530515396728526,""max_vel_theta"":0.9894199471439868,""max_vel_x"":1.1873039365727842,""min_obstacle_dist"":0.2753791490662689,""weight_obstacle"":50.93251217983549,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7151952057426352,""acc_lim_x"":0.8,""inflation_dist"":0.5530515396728526,""max_vel_theta"":0.9894199471439868,""max_vel_x"":1.1873039365727842,""min_obstacle_dist"":0.2753791490662689,""weight_obstacle"":50.93251217983549,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7151952057426352,""acc_lim_x"":0.8,""inflation_dist"":0.5530515396728526,""max_vel_theta"":0.9894199471439868,""max_vel_x"":1.1873039365727842,""min_obstacle_dist"":0.2753791490662689,""weight_obstacle"":50.93251217983549,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,2.6197713936684575,2.7194237884756496,-0.05,-0.0,-0.000526886912565744,-0.014281625800459828,-0.0,-0.034843882094166376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.00000000000025,48.00000000000004,true,
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000001,3,4,5.716,4.358,4.358,4.396,4.406,4.906,0,0.5,true,,0.5318578920364486,0.19266947975903126,0.003482132746986804,0.0023076352188541476,30.0,0.0,600.0,0.0,0.0,"[1.0,0.8192975521087646,0.24000871181488037,0.06161093711853027,-0.17269790172576904]","[0.14726507663726807,-0.21938347816467285,-0.2906419038772583,0.30394601821899414,-0.3059431314468384]","[1.0,0.5999140739440918,-0.05063319206237793,0.3655569553375244,-0.4786410331726074]","{""acc_lim_theta"":0.7151952057426352,""acc_lim_x"":0.8,""inflation_dist"":0.5530515396728526,""max_vel_theta"":0.9894199471439868,""max_vel_x"":1.1873039365727842,""min_obstacle_dist"":0.2753791490662689,""weight_obstacle"":50.93251217983549,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7272702972784367,""acc_lim_x"":0.7801400642198388,""inflation_dist"":0.5557423758060289,""max_vel_theta"":0.9894199471439868,""max_vel_x"":1.2,""min_obstacle_dist"":0.2624927718528215,""weight_obstacle"":52.58450501565012,""weight_optimaltime"":0.9780616521835327,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7272702972784367,""acc_lim_x"":0.7801400642198388,""inflation_dist"":0.5557423758060289,""max_vel_theta"":0.9894199471439868,""max_vel_x"":1.2,""min_obstacle_dist"":0.2624927718528215,""weight_obstacle"":52.58450501565012,""weight_optimaltime"":0.9780616521835327,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7272702972784367,""acc_lim_x"":0.7801400642198388,""inflation_dist"":0.5557423758060289,""max_vel_theta"":0.9894199471439868,""max_vel_x"":1.2,""min_obstacle_dist"":0.2624927718528215,""weight_obstacle"":52.58450501565012,""weight_optimaltime"":0.9780616521835327,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7272702972784367,""acc_lim_x"":0.7801400642198388,""inflation_dist"":0.5557423758060289,""max_vel_theta"":0.9894199471439868,""max_vel_x"":1.2,""min_obstacle_dist"":0.2624927718528215,""weight_obstacle"":52.58450501565012,""weight_optimaltime"":0.9780616521835327,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,11.596459810652336,1.6959420613870868,-0.05,-0.0,-0.0009796202256140854,-0.024787846664876528,-0.0,-0.02371478384425968,10.0,0.0,0.0,0.0,0.0,0.0,0.0,38.000000000000256,48.00000000000004,true,
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000002,0,1,7.258,6.658,6.658,6.696,6.708,7.208,0,0.5,true,,2.541838392155178,2.0587954148526646,0.012839997895481991,0.007956654636069862,30.0,0.0,26.362646321815348,1.1379737691649987,0.12742614123851662,"[0.0,0.0,0.0,0.0,0.0]","[0.015159845352172852,-0.2581285834312439,-0.889594316482544,-0.4991816282272339,0.6819260120391846]","[0.015159845352172852,-0.2581285834312439,-0.889594316482544,-0.4991816282272339,0.6819260120391846]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7636795772762479,""acc_lim_x"":0.7987910396345599,""inflation_dist"":0.5582360888045603,""max_vel_theta"":1.0,""max_vel_x"":1.1722371137936052,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9741871416568756,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7636795772762479,""acc_lim_x"":0.7987910396345599,""inflation_dist"":0.5582360888045603,""max_vel_theta"":0.976864261494671,""max_vel_x"":1.1722371137936052,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9741871416568756,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7636795772762479,""acc_lim_x"":0.7987910396345599,""inflation_dist"":0.5582360888045603,""max_vel_theta"":0.976864261494671,""max_vel_x"":1.1722371137936052,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9741871416568756,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7636795772762479,""acc_lim_x"":0.7987910396345599,""inflation_dist"":0.5582360888045603,""max_vel_theta"":0.976864261494671,""max_vel_x"":1.1722371137936052,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9741871416568756,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,2.1465419244769337,2.4152148865125667,-0.05,-0.0,-2.671902588871358e-05,-0.19249386193681567,-0.0,-0.026152381072928922,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.99999999999937,49.99999999999982,true,
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000002,1,2,7.856,7.258,7.26,7.29,7.306,7.806,0,0.5,true,,1.9450186610249183,1.3999543867151936,0.05827311496288294,0.02451922560849877,30.0,0.0,27.526911936469872,1.0898425536884717,-0.009025957942822993,"[0.015159845352172852,-0.2581285834312439,-0.889594316482544,-0.4991816282272339,0.6819260120391846]","[0.6363089084625244,0.3346508741378784,-0.05882483720779419,0.9396889209747314,0.6805214881896973]","[0.6514687538146973,0.07652229070663452,-0.9484191536903381,0.44050729274749756,1.0]","{""acc_lim_theta"":0.7636795772762479,""acc_lim_x"":0.7987910396345599,""inflation_dist"":0.5582360888045603,""max_vel_theta"":0.976864261494671,""max_vel_x"":1.1722371137936052,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9741871416568756,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.73911734180509,""acc_lim_x"":0.7841291216878314,""inflation_dist"":0.5587807040007015,""max_vel_theta"":0.976864261494671,""max_vel_x"":1.122776517141062,""min_obstacle_dist"":0.25614610530652876,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.73911734180509,""acc_lim_x"":0.7841291216878314,""inflation_dist"":0.5587807040007015,""max_vel_theta"":0.9356470976175517,""max_vel_x"":1.122776517141062,""min_obstacle_dist"":0.25614610530652876,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.73911734180509,""acc_lim_x"":0.7841291216878314,""inflation_dist"":0.5587807040007015,""max_vel_theta"":0.9356470976175517,""max_vel_x"":1.122776517141062,""min_obstacle_dist"":0.25614610530652876,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.73911734180509,""acc_lim_x"":0.7841291216878314,""inflation_dist"":0.5587807040007015,""max_vel_theta"":0.9356470976175517,""max_vel_x"":1.122776517141062,""min_obstacle_dist"":0.25614610530652876,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,2.6384088019549283,2.7253213715486235,-0.05,-0.0,-0.0005536798517274869,-0.0022893677036575446,-0.0,-0.0340695220383103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.00000000000025,46.00000000000026,true,
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000002,2,3,8.408,7.838,7.858,7.888,7.906,8.405999999999999,0,0.4500000000000002,true,,1.2909701385619954,0.7946855288593044,0.07349677184652398,0.02681620710203646,30.0,0.0,28.54575844334509,1.0509442255507468,0.01333173448150624,"[0.6514687538146973,0.07652229070663452,-0.9484191536903381,0.44050729274749756,1.0]","[-0.5098651051521301,0.13509416580200195,0.9119024276733398,0.571235179901123,-0.2612994313240051]","[0.14160364866256714,0.21161645650863647,-0.03651672601699829,1.0,0.7387005686759949]","{""acc_lim_theta"":0.73911734180509,""acc_lim_x"":0.7841291216878314,""inflation_dist"":0.5587807040007015,""max_vel_theta"":0.9356470976175517,""max_vel_x"":1.122776517141062,""min_obstacle_dist"":0.25614610530652876,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7833508169198251,""acc_lim_x"":0.7706073917913737,""inflation_dist"":0.5503380810699386,""max_vel_theta"":0.9356470976175517,""max_vel_x"":1.1151803722552267,""min_obstacle_dist"":0.28380078931576824,""weight_obstacle"":51.410931458105644,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7833508169198251,""acc_lim_x"":0.7706073917913737,""inflation_dist"":0.5503380810699386,""max_vel_theta"":0.9293169768793557,""max_vel_x"":1.1151803722552267,""min_obstacle_dist"":0.28380078931576824,""weight_obstacle"":51.410931458105644,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7833508169198251,""acc_lim_x"":0.7706073917913737,""inflation_dist"":0.5503380810699386,""max_vel_theta"":0.9293169768793557,""max_vel_x"":1.1151803722552267,""min_obstacle_dist"":0.28380078931576824,""weight_obstacle"":51.410931458105644,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7833508169198251,""acc_lim_x"":0.7706073917913737,""inflation_dist"":0.5503380810699386,""max_vel_theta"":0.9293169768793557,""max_vel_x"":1.1151803722552267,""min_obstacle_dist"":0.28380078931576824,""weight_obstacle"":51.410931458105644,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,2.400544170351699,2.481423048513455,-0.04500000000000002,-0.0,-0.001988734188335329,-0.0006233799252186954,-0.0,-0.03326676404820165,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.00000000000025,48.00000000000004,true,
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000002,3,4,10.014,8.404,8.41,8.442,8.504,9.004,0,0.5,true,,0.6561122072962015,0.27344000141085995,0.000844592198754126,0.0009318965282738845,30.0,0.0,600.0,0.0,0.0,"[0.14160364866256714,0.21161645650863647,-0.03651672601699829,1.0,0.7387005686759949]","[-0.060152649879455566,0.03565371036529541,0.8037867546081543,0.42859113216400146,-0.20372414588928223]","[0.08145099878311157,0.24727016687393188,0.767270028591156,1.0,0.5349764227867126]","{""acc_lim_theta"":0.7833508169198251,""acc_lim_x"":0.7706073917913737,""inflation_dist"":0.5503380810699386,""max_vel_theta"":0.9293169768793557,""max_vel_x"":1.1151803722552267,""min_obstacle_dist"":0.28380078931576824,""weight_obstacle"":51.410931458105644,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7654482359293788,""inflation_dist"":0.55,""max_vel_theta"":0.9293169768793557,""max_vel_x"":1.115950938711879,""min_obstacle_dist"":0.3062500443875934,""weight_obstacle"":52.51097520773965,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7654482359293788,""inflation_dist"":0.55,""max_vel_theta"":0.9293169768793557,""max_vel_x"":1.115950938711879,""min_obstacle_dist"":0.3062500443875934,""weight_obstacle"":52.51097520773965,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7654482359293788,""inflation_dist"":0.55,""max_vel_theta"":0.9293169768793557,""max_vel_x"":1.115950938711879,""min_obstacle_dist"":0.3062500443875934,""weight_obstacle"":52.51097520773965,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7654482359293788,""inflation_dist"":0.55,""max_vel_theta"":0.9293169768793557,""max_vel_x"":1.115950938711879,""min_obstacle_dist"":0.3062500443875934,""weight_obstacle"":52.51097520773965,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,11.822058491887912,1.9133610294267076,-0.05,-0.0,-0.0011611745570979282,-0.02328446638397006,-0.0,-0.01685689659772692,10.0,0.0,0.0,0.0,0.0,0.0,0.0,32.00000000000003,93.99999999999942,true,
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000003,0,1,11.564,10.958,10.962,10.998,11.014,11.514,0,0.5,true,,2.4670778849376527,2.008705285702196,0.048283414140109,0.14309562807165138,30.0,0.0,25.684573610820596,1.16801627523851,-0.06290037212804461,"[0.0,0.0,0.0,0.0,0.0]","[-0.0759173035621643,-0.8153803944587708,-0.01593005657196045,-0.541955292224884,-0.8137359619140625]","[-0.0759173035621643,-0.8153803944587708,-0.01593005657196045,-0.541955292224884,-0.8137359619140625]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7928530897425414,""inflation_dist"":0.5501474844860825,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":54.39390802130279,""weight_optimaltime"":0.9184619605541229,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7928530897425414,""inflation_dist"":0.5501474844860825,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":54.39390802130279,""weight_optimaltime"":0.9184619605541229,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7928530897425414,""inflation_dist"":0.5501474844860825,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":54.39390802130279,""weight_optimaltime"":0.9184619605541229,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7928530897425414,""inflation_dist"":0.5501474844860825,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":54.39390802130279,""weight_optimaltime"":0.9184619605541229,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,2.018852396746809,2.291862996177283,-0.05,-0.0,-0.00015936485581013397,-0.19592694465392368,-0.0,-0.026924289920740658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.99999999999959,51.9999999999996,true,
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000003,1,2,12.158,11.558,11.566,11.606,11.608,12.108,0,0.5,true,,1.8938465931541684,1.3290811895712524,0.014273351598184889,0.0227015803927059,30.0,0.0,25.978956203186506,1.1547808066407335,0.3816771308761588,"[-0.0759173035621643,-0.8153803944587708,-0.01593005657196045,-0.541955292224884,-0.8137359619140625]","[-0.8174463510513306,-0.5683490633964539,0.3982527256011963,-0.6416335701942444,0.13677430152893066]","[-0.8933636546134949,-1.0,0.38232266902923584,-1.0,-0.6769616603851318]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7928530897425414,""inflation_dist"":0.5501474844860825,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":54.39390802130279,""weight_optimaltime"":0.9184619605541229,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7903491258545718,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.1916652998592825,""min_obstacle_dist"":0.25,""weight_obstacle"":53.65537153192059,""weight_optimaltime"":0.8616270542144775,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7903491258545718,""inflation_dist"":0.55,""max_vel_theta"":0.9930544165494021,""max_vel_x"":1.1916652998592825,""min_obstacle_dist"":0.25,""weight_obstacle"":53.65537153192059,""weight_optimaltime"":0.8616270542144775,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7903491258545718,""inflation_dist"":0.55,""max_vel_theta"":0.9930544165494021,""max_vel_x"":1.1916652998592825,""min_obstacle_dist"":0.25,""weight_obstacle"":53.65537153192059,""weight_optimaltime"":0.8616270542144775,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7903491258545718,""inflation_dist"":0.55,""max_vel_theta"":0.9930544165494021,""max_vel_x"":1.1916652998592825,""min_obstacle_dist"":0.25,""weight_obstacle"":53.65537153192059,""weight_optimaltime"":0.8616270542144775,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,2.754478238841898,2.8238270179145797,-0.05,-0.0,-0.0021543572291634525,-0.0009040048199982212,-0.0,-0.01629041702352003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.99999999999915,41.999999999999815,true,
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000003,2,3,12.756,12.158,12.158,12.2,12.206,12.706,0,0.5,true,,1.2141548104962068,0.6613156342399732,0.025717068112681124,0.1498296394089071,30.0,0.0,31.691793246181152,0.9466173077351812,0.09201710193063391,"[-0.8933636546134949,-1.0,0.38232266902923584,-1.0,-0.6769616603851318]","[0.20523810386657715,0.9325308799743652,-0.08360028266906738,0.5490546226501465,-0.9302113652229309]","[-0.6881255507469177,-0.06746912002563477,0.29872238636016846,-0.4509453773498535,-1.0]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7903491258545718,""inflation_dist"":0.55,""max_vel_theta"":0.9930544165494021,""max_vel_x"":1.1916652998592825,""min_obstacle_dist"":0.25,""weight_obstacle"":53.65537153192059,""weight_optimaltime"":0.8616270542144775,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.5507739925260217,""max_vel_theta"":0.9930544165494021,""max_vel_x"":1.2,""min_obstacle_dist"":0.2692876012130838,""weight_obstacle"":58.678208631986855,""weight_optimaltime"":0.954880142211914,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.5507739925260217,""max_vel_theta"":0.9930544165494021,""max_vel_x"":1.2,""min_obstacle_dist"":0.2692876012130838,""weight_obstacle"":58.678208631986855,""weight_optimaltime"":0.954880142211914,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.5507739925260217,""max_vel_theta"":0.9930544165494021,""max_vel_x"":1.2,""min_obstacle_dist"":0.2692876012130838,""weight_obstacle"":58.678208631986855,""weight_optimaltime"":0.954880142211914,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.5507739925260217,""max_vel_theta"":0.9930544165494021,""max_vel_x"":1.2,""min_obstacle_dist"":0.2692876012130838,""weight_obstacle"":58.678208631986855,""weight_optimaltime"":0.954880142211914,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,2.660595779111773,2.764195881281168,-0.05,-0.0,-0.00012237546054040706,-0.013043418475803923,-0.0,-0.04043430823305044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.999999999999815,48.00000000000004,true,
